video_id,video_comment,video_comment_final,ratio,duration_seconds,view_count,category_id,category_title,topic_categories,default_language,default_audio_language,channel_id,channel_country
YQ9kGMas-Xc,8955,709,12.630465,261,3536724,26,Howto & Style,Food|Hobby|Lifestyle_(sociology),en,en,UCBMxQPhfM6nkhQ8vPfQhkCg,US
YOjFwp57Y1I,37,3,12.333333,555,191777,26,Howto & Style,Fashion|Hobby|Lifestyle_(sociology),en,en,UCC-Tz0c0ecT5x3Wja5I4UtQ,US
-2FGNhtOy0c,2533,207,12.236715,502,3152025,26,Howto & Style,Food|Lifestyle_(sociology),en,en,UCR60f_ndLSdk1ieI-LIRQnA,US
t395mDaXgnk,84,7,12.000000,310,243756,26,Howto & Style,,en,,UCTHhOKfjizHs3u1CrWZAjDg,
NAIQyoPcjNM,3091,258,11.980620,766,8811695,26,Howto & Style,Video_game_culture,en,en,UC4rlAVgAK0SGk-yTfe48Qpw,
3tvNPOH1FaE,4854,411,11.810219,497,3315086,26,Howto & Style,Food|Lifestyle_(sociology),en,en,UCxSklFRi7f0arLqjBWScTzA,US
AcfuZCXJxac,47,4,11.750000,397,3255,26,Howto & Style,Food|Hobby|Lifestyle_(sociology),en,en,UC582Pj9HgbRwurmWRRA3RSA,FI
mF1bwAZTySE,5094,484,10.524793,177,5541445,26,Howto & Style,Hobby|Lifestyle_(sociology),en,en,UCBMxQPhfM6nkhQ8vPfQhkCg,US
mqEYFHQi3_0,322,31,10.387097,669,1023141,26,Howto & Style,Hobby|Lifestyle_(sociology),en,en,UCO4AaIooUgGTlBH64KWO76w,US
_qfVIzmqlGE,226,22,10.272727,340,2237446,26,Howto & Style,Food|Lifestyle_(sociology),en,en,UC6v2sTcx-nYafYAlxSDJn4Q,
6NH-L5RwJrg,179,18,9.944444,554,223790,26,Howto & Style,Hobby|Lifestyle_(sociology),en,en,UCjA8vRlL1c7BDixQRJ39-LQ,CA
5oJfJ19hpqA,3369,349,9.653295,606,2040369,26,Howto & Style,Food|Lifestyle_(sociology),en,en,UC_XymTM6N6skpE0J6vKYh9g,US
70cGDOqQSRo,1141,125,9.128000,527,758195,26,Howto & Style,Lifestyle_(sociology),en,en,UC9z9qe4eJ6udeSJwx5RWoMw,US
xVQzcMXYQyk,373,41,9.097561,306,498570,26,Howto & Style,Food|Lifestyle_(sociology),en,en,UCTkiC-gryN8O5jSgp5oN5dw,US
vTnpqUVO498,126,14,9.000000,282,96590,26,Howto & Style,Food|Lifestyle_(sociology),en,en,UCfverUzOfmQVaKkUwZV_lpQ,US
b5UbOtkTH6M,5159,575,8.972174,130,5956616,26,Howto & Style,Hobby|Lifestyle_(sociology),en,en,UCSiTS5Fg9Cl6T5t_EPDFLFw,US
H2FnGm75ImY,389,44,8.840909,905,279363,26,Howto & Style,Food|Lifestyle_(sociology),en-GB,en-GB,UCMIZ1PU9g27a-dEwCUxWC4A,GB
AfDXp1Yt5ao,855,97,8.814433,178,2732880,26,Howto & Style,Food|Lifestyle_(sociology),en,en-US,UCJqdF7ip4Y2WTQnIqjTC5og,US
gCP9i8eWt78,79,9,8.777778,797,302005,26,Howto & Style,Lifestyle_(sociology)|Vehicle,en,en,UCnoiU5z2Cyyo26ppgx9RNEw,
NSPgnoMBV4Q,1025,118,8.686441,348,1837008,26,Howto & Style,Food|Lifestyle_(sociology),en,en-US,UCbpMy0Fg74eXXkvxJrtEn3w,US
RECaepj8LkU,7907,914,8.650985,186,29660179,26,Howto & Style,Hobby|Lifestyle_(sociology)|Physical_fitness,en,en-US,UC7gJCoe8Zf4N1aB0Hnmzyqg,US
5-EkUlRPlzU,492,57,8.631579,630,1225569,26,Howto & Style,Food|Lifestyle_(sociology),en,en-GB,UCJPL-KaRXesxML5G4xrfUAg,CA
UQHKAcQzS3Q,109,13,8.384615,383,133985,26,Howto & Style,Knowledge,en,en,UCqR9wRW2JYXOlpqiN8C0dIg,
F5-nfxQjfZU,1301,158,8.234177,557,3259927,26,Howto & Style,Food|Lifestyle_(sociology),en,en,UCIvA9ZGeoR6CH2e0DZtvxzw,US
XBXJxlT5tos,287,35,8.200000,232,536524,26,Howto & Style,Technology,en,en,UCyC3HkaEzr7PBNuE2oPvQKg,US
xTARWxkTJw0,569,70,8.128571,487,470723,26,Howto & Style,Food|Hobby|Lifestyle_(sociology),en,en,UCX9RpgtsnCr77AsFRR1pFIA,US
lpUtXhZm9fE,321,41,7.829268,182,1685361,26,Howto & Style,Food|Lifestyle_(sociology)|Television_program,en,en,UCpSgg_ECBj25s9moCDfSTsA,GB
XsbsB8EGkR8,547,70,7.814286,291,4197329,26,Howto & Style,Fashion|Hobby|Lifestyle_(sociology),en,en,UCDu83Jk_MjdGOP4F_Ru3M-w,NZ
D-jb4fSBsLk,378,49,7.714286,590,477347,26,Howto & Style,Hobby|Lifestyle_(sociology),en,en,UCSJWlswfVUgyVliZaEFoaBw,US
UmPvZIINt-g,616,81,7.604938,386,505842,26,Howto & Style,Hobby|Lifestyle_(sociology),en,en,UC3CrzXzBFVqEopj5T1jiRtA,US
PsO9F_Bj03w,449,60,7.483333,959,297197,26,Howto & Style,Lifestyle_(sociology),en,en,UCg9f9knI31hrUYBN8ey0m6Q,US
QjLnDPiOVAI,4450,601,7.404326,1106,3306840,26,Howto & Style,Lifestyle_(sociology),en,en,UCGwPbAQdGA3_88WBuGtg9tw,US
EGbn-r3UzQI,368,50,7.360000,307,230572,26,Howto & Style,Food|Lifestyle_(sociology),en,en-GB,UCfyehHM_eo4g5JUyWmms2LA,GB
J3OrzNXNva0,218,30,7.266667,471,567345,26,Howto & Style,Hobby|Lifestyle_(sociology),en,en,UCzQQqaImfJnAEmxMGYZPEhA,
SpSrBGnjurA,3551,493,7.202840,413,6192621,26,Howto & Style,Food|Lifestyle_(sociology),en,en,UCXjmSszjqfuEgLR7H5y1IAw,US
Ic9KQUzpMVY,108,15,7.200000,353,284239,26,Howto & Style,Lifestyle_(sociology),en,en,UC6Xns5XsSSPyqMP6JRxCdvw,US
R9dfqno5lL4,179,25,7.160000,712,128921,26,Howto & Style,Food|Lifestyle_(sociology),en,en-US,UCRzPUBhXUZHclB7B5bURFXw,US
hO7-rjf4PMQ,901,126,7.150794,326,1465172,26,Howto & Style,Hobby|Lifestyle_(sociology),en,en,UC5eVAqIMYef7YQ9QrXKpfjA,IT
l5egveJCpAc,107,15,7.133333,696,60525,26,Howto & Style,Lifestyle_(sociology),en,en,UCraGaDLfWec67xl9FEPndtw,US
hVZss8savLM,28,4,7.000000,462,73187,26,Howto & Style,Hobby|Lifestyle_(sociology),en,en,UCMXA54-LGjCzDm4Y2DfJzRg,CA
K18LPVV_71Q,109,16,6.812500,354,292677,26,Howto & Style,Food|Lifestyle_(sociology),en,en,UCYWTDI8BUEJ4ZLN-A6XqWCQ,
14ce0wzqzOo,245,36,6.805556,429,3170133,26,Howto & Style,Hobby|Lifestyle_(sociology),en,en,UCT7uKjjnhi3eozGVrjKfTzQ,US
8Im7nkpEqzs,170,25,6.800000,384,131508,26,Howto & Style,Food|Lifestyle_(sociology),en,en,UCNbngWUqL2eqRw12yAwcICg,US
lU0qw1-IkNg,34,5,6.800000,283,75290,26,Howto & Style,Lifestyle_(sociology)|Vehicle,en,en,UCzA2PE7vg9R_ebLiBSjCxEw,US
At9UOHLDfUM,290,43,6.744186,280,488664,26,Howto & Style,Food|Lifestyle_(sociology),en,en,UCbGedJzEhohA3zVMv6EXGrw,US
WWsY8IaoAV8,4742,706,6.716714,489,7310360,26,Howto & Style,Food|Hobby|Lifestyle_(sociology),en,en,UCn0NTkWyvU1eLfLAN8yMpGA,US
1EeCqTG_MKQ,114,17,6.705882,936,92453,26,Howto & Style,Hobby|Lifestyle_(sociology),en,en,UC545XVmRhNmi3UBJ7RYid9g,US
3Uo-b_8T23Q,2886,432,6.680556,346,4632071,26,Howto & Style,Lifestyle_(sociology),en,en,UC6QWhGQqf0YDYdRb0n6ojWw,US
Tte4LHqfxPU,86,13,6.615385,836,118547,26,Howto & Style,Food|Lifestyle_(sociology),en,en,UCFjd060Z3nTHv0UyO8M43mQ,
OuGQrIhXnkw,176,27,6.518519,743,330278,26,Howto & Style,Lifestyle_(sociology),en,en,UCXJ7onrDcxo2zy8yAsxqwgg,US
kjTcuBJz-zs,605,94,6.436170,533,942658,26,Howto & Style,Food|Lifestyle_(sociology),en,en,UC9pJdcUHnkqCAM_HypH3KOg,
iSYqz_XP4WE,218,34,6.411765,484,46524,26,Howto & Style,Food|Lifestyle_(sociology),en,en,UCZ9rtgneFVp0wiQWQedaShw,US
5KtfYM1Sr-E,2407,380,6.334211,488,1656666,26,Howto & Style,Lifestyle_(sociology),en,en,UCoziFm3M4sHDq1kkx0UwtRw,US
OBoPIASFThw,44,7,6.285714,588,131230,26,Howto & Style,Lifestyle_(sociology)|Vehicle,en,en,UCQOkxT5m713-Kq2FPrdOgNw,US
PVpzt5XN0W8,25,4,6.250000,423,17921,26,Howto & Style,Hobby|Lifestyle_(sociology),en,en,UCMgePvYaSa6Wf2mLSeaeCig,GB
lhIslpWsj5s,122,20,6.100000,727,64382,26,Howto & Style,Food|Lifestyle_(sociology),en,en,UCosny7dI3LVZE-GWR1RKxsg,US
J6klfwi2Kc4,388,66,5.878788,321,468812,26,Howto & Style,Food|Lifestyle_(sociology),en,en,UCNbngWUqL2eqRw12yAwcICg,US
gueFti7TgN8,170,29,5.862069,1111,90217,26,Howto & Style,Food|Lifestyle_(sociology),en,en,UC_PgChfO-fgSIpIYWD3Ka-g,US
jBGolNzSFgQ,310,53,5.849057,577,550658,26,Howto & Style,Food|Lifestyle_(sociology),en,en-GB,UC-9lzGHoos6oWqmdguWrHYA,ES
0ey8aA9LQMg,596,102,5.843137,961,434962,26,Howto & Style,Hobby|Lifestyle_(sociology),en,en,UCev-WO-s0bnCA8bMvIDDZ0Q,DE
2Mb23tK2lLg,2863,491,5.830957,356,9040760,26,Howto & Style,Lifestyle_(sociology),en,en,UCPKAKrjoMz7POptCloy7AIQ,US
C691_uH56ng,29,5,5.800000,398,11148,26,Howto & Style,Food|Lifestyle_(sociology),en,en,UCZB32syI0FFtThd6xkPTRrg,CA
RO0Hg5qY5eM,283,49,5.775510,366,162468,26,Howto & Style,Technology,en,en,UCwWnMcPoBohPkYQ0HVV2cew,US
YADYD28wIWU,225,39,5.769231,586,363906,26,Howto & Style,Hobby|Lifestyle_(sociology),en,en,UCB2M2LmQYA9sjazoI00pVNw,US
u4rQuSfnn6k,144,25,5.760000,525,668987,26,Howto & Style,,en,en-US,UCUtWNBWbFL9We-cdXkiAuJA,US
LogWmfXfxgk,748,130,5.753846,155,3724637,26,Howto & Style,Lifestyle_(sociology),en,en,UCrnCSQJB4c1_rOKJRzSZemg,CA
5odZ4m8VAtY,151,27,5.592593,239,140474,26,Howto & Style,Food|Lifestyle_(sociology),en,en,UCB9IPcQ_x8dO66s1Y9FZUDg,US
VR15_ItYh0w,361,65,5.553846,451,758038,26,Howto & Style,Food|Lifestyle_(sociology),en,en-US,UCfyehHM_eo4g5JUyWmms2LA,GB
5auu9QHQ13Q,261,47,5.553191,445,624002,26,Howto & Style,Hobby|Lifestyle_(sociology),en,en,UCrh9tOpAY2-Ev5pRssXq2Wg,CA
OQbZvE_emeE,188,34,5.529412,308,53094,26,Howto & Style,Food|Lifestyle_(sociology),en,en-GB,UCGXHiIMcPZ9IQNwmJOv12dQ,AU
GIF-E76Qw2I,628,114,5.508772,921,696204,26,Howto & Style,Food|Hobby|Lifestyle_(sociology),en,en,UCLs1ozoolo_-mKZqq6GuEIQ,US
NjKMadWYA0g,1347,250,5.388000,295,3336976,26,Howto & Style,Health|Lifestyle_(sociology)|Physical_fitness,en,en,UCKf0UqBiCQI4Ol0To9V0pKQ,US
buu5Ckk4Je4,43,8,5.375000,1216,110247,26,Howto & Style,Lifestyle_(sociology),en,en,UC4uzq0F4s07dVxfvB6XfxZQ,US
wug-u8L1mK8,267,50,5.340000,455,348980,26,Howto & Style,Food|Health|Lifestyle_(sociology),en,en,UCnNx5oRMdEjVBr7wPDbpSFQ,US
6SMyxbqxFZ8,48,9,5.333333,303,82285,26,Howto & Style,Food|Lifestyle_(sociology),en,en,UCkrdI6_uNjgw4LUbE6JCxmQ,US
9tsDfd52kCA,90,17,5.294118,404,444953,26,Howto & Style,Lifestyle_(sociology)|Physical_fitness,en,en,UCaAK2FaxQ2xiBbAUVZsvDYQ,US
dhadqUbksxg,37,7,5.285714,214,133996,26,Howto & Style,Fashion|Hobby|Lifestyle_(sociology),en,en,UCe235D4gXmcS7s8uNpyqXkw,US
SCWoI0X4jw0,632,120,5.266667,816,4170419,26,Howto & Style,Hobby|Lifestyle_(sociology),en,en-US,UC8HXlt-_Ha_2J5GoMyjvYsQ,US
Ohy1DELF4is,778,148,5.256757,574,2030748,26,Howto & Style,Food|Lifestyle_(sociology),en,en,UC27C_HWo-UmKkdWGsRJZ8EA,CA
UuBdMJor-Bk,983,188,5.228723,319,1661485,26,Howto & Style,Hobby|Lifestyle_(sociology),en,en,UCNwJz8-bLJge72TzJu4ARUA,CA
jW7xuJ2gHOY,144,28,5.142857,497,161367,26,Howto & Style,Hobby|Lifestyle_(sociology),en,en,UCJ6nWQ7UO-Lve9ji2FUNYwg,US
Dx-7uTyKPFs,46,9,5.111111,543,235179,26,Howto & Style,,en,en,UCCZbLEJAq6HCJu4_iOfVs3g,US
iki-Q8CLmA4,44,9,4.888889,319,129028,26,Howto & Style,Hobby|Lifestyle_(sociology),en,en,UCrm3H1Pze1JGRgDf6Ji40tA,
3f38yfY3OO8,63,13,4.846154,785,162484,26,Howto & Style,,en,en,UC4mZGMmJ1kOaOG1oRACZDbQ,US
W0T1M84I4E0,92,19,4.842105,336,230223,26,Howto & Style,Hobby|Lifestyle_(sociology),en,en-US,UCnrhmEmvA_bIRYkBVPqJ4zg,US
f8QUF51FA30,211,45,4.688889,426,390285,26,Howto & Style,Hobby|Lifestyle_(sociology),en,en,UCUtsRCYEE-hCPsftezm9wzA,AU
3bQPEEtWGKU,447,96,4.656250,397,2789696,26,Howto & Style,Hobby|Lifestyle_(sociology),en,en-US,UCUtWNBWbFL9We-cdXkiAuJA,US
IVG3aE-UcM4,107,23,4.652174,458,462398,26,Howto & Style,Lifestyle_(sociology),en,en,UCMWCvDVaoMEGE-XqJPRoGUQ,US
EvHiF-ptomQ,399,86,4.639535,204,974753,26,Howto & Style,Lifestyle_(sociology),en,en-US,UCpb14PLslOJg2AhOceHi4Qw,US
4d2WsVWoJIA,284,63,4.507937,535,242288,26,Howto & Style,Food|Lifestyle_(sociology),en,en,UC0UPLkKVX3qyiQ8MqQgYw8Q,US
xy_tDa0rAc4,680,151,4.503311,877,2436475,26,Howto & Style,Hobby|Lifestyle_(sociology),en,en,UCPZb-josPD4jRjSK7L0OAag,US
QTsROr4q_pM,9,2,4.500000,552,6559,26,Howto & Style,Food|Lifestyle_(sociology),en,en,UCNrSDb_ijRusRp2OCm5lSqw,
yg5nLQVg4VY,933,208,4.485577,600,1421684,26,Howto & Style,Food|Hobby|Lifestyle_(sociology),en,en,UCzH5n3Ih5kgQoiDAQt2FwLw,US
YvZYsHeGT0g,66,15,4.400000,360,153753,26,Howto & Style,Food|Lifestyle_(sociology),en,en,UCsv5Rytct54UTBdSKw2Nh4Q,US
y5K1iVGpHqk,57,13,4.384615,642,106629,26,Howto & Style,Hobby|Lifestyle_(sociology),en,en,UCSZuYtYINhG0_yXFeiHX6AA,
bGrisPxu6Hk,117,27,4.333333,356,325486,26,Howto & Style,Hobby|Lifestyle_(sociology),en,en,UCesXqJmu3vgiacty8CVlK5g,US
yyJvg6ZMGfU,42,10,4.200000,293,43813,26,Howto & Style,Food|Lifestyle_(sociology),en,en,UCeaKRrrpWiQFJJmiuon2WoQ,GB
9rLW7s_S-6I,319,77,4.142857,343,1368043,26,Howto & Style,Food|Hobby|Lifestyle_(sociology),en,en,UCr_RedQch0OK-fSKy80C3iQ,CA
DgGvp6vsHZg,190,46,4.130435,581,185527,26,Howto & Style,Food|Health|Lifestyle_(sociology),en,en,UCnP_T4dI2JYG7BnH42PC9qw,US
U3uKB0M8PU8,876,213,4.112676,556,9382929,26,Howto & Style,Lifestyle_(sociology),en,en,UC7v0CRFJyXKIu1dOX5EYJcw,US
8gcBGxF0IWI,74,18,4.111111,410,110268,26,Howto & Style,Food|Lifestyle_(sociology),en,en,UCVZsY1CF9VwLTKgs9YLQkXw,US
3cpECR-sfys,40,10,4.000000,400,52281,26,Howto & Style,Lifestyle_(sociology),en,en,UCVymRHwj8yvrYFz2zb3rLaw,US
JFLuPnzs3wQ,4,1,4.000000,221,3731,26,Howto & Style,Food|Lifestyle_(sociology),en,en,UC5QMArDjpUSYt1BX0GmLS6A,US
QPBp7_2UXA0,28,7,4.000000,585,65298,26,Howto & Style,Food|Lifestyle_(sociology),en,en-US,UCpPsrEZJFKKelnKzjHLl1bg,US
WyGmQZKXWgw,92,23,4.000000,174,337166,26,Howto & Style,Lifestyle_(sociology),en,en,UCkF8GnvAlmaN_TfPiCxiHCg,US
M0WWHvW7E8s,47,12,3.916667,138,38594,26,Howto & Style,Food|Health|Lifestyle_(sociology),en,en-US,UCSpVHeDGr9UbREhRca0qwsA,US
Y9_RZQgfv_c,23,6,3.833333,286,139970,26,Howto & Style,Lifestyle_(sociology),en,en,UCf2fOEV9Zon_5A-n2389bnA,
H9Hk2Iv-6f0,116,31,3.741935,432,92400,26,Howto & Style,Food|Lifestyle_(sociology),en,en,UCpSgg_ECBj25s9moCDfSTsA,GB
V9-roZGq1aw,67,18,3.722222,357,202384,26,Howto & Style,Fashion|Hobby|Lifestyle_(sociology),en,en,UCbnY-O1Pse1lekxYWqVJwgg,CA
-R8EhNDd738,40,11,3.636364,379,486019,26,Howto & Style,Hobby|Lifestyle_(sociology),en,en,UC12lh9nMJjIoxlTC-X7r0lw,
VPxj8e2r7H0,152,42,3.619048,718,278949,26,Howto & Style,Lifestyle_(sociology),en,en-US,UChz2QEbZECEzUih1DiqZTNA,AU
OXIauqrMCWU,53,15,3.533333,491,306105,26,Howto & Style,Hobby|Lifestyle_(sociology),en,en,UC778dm7pNtuLE3q-bGUWkrg,US
Qi0hPqcnejQ,7,2,3.500000,254,35881,26,Howto & Style,Food|Lifestyle_(sociology),en,en,UCAxtVn4eS0WSE5jaKK6qlVA,
azfY1-JRh6Q,35,10,3.500000,290,366897,26,Howto & Style,Lifestyle_(sociology),en,en-US,UCUtWNBWbFL9We-cdXkiAuJA,US
yt0imxrGmHg,136,39,3.487179,339,848722,26,Howto & Style,Hobby|Lifestyle_(sociology),en,en-US,UCUtWNBWbFL9We-cdXkiAuJA,US
2SbZYJwqnOo,1016,294,3.455782,456,4875868,26,Howto & Style,Food|Lifestyle_(sociology),en,en,UCNONkXHTkVwZQZFvFndTBtA,CA
9AVba_km2Oc,23,7,3.285714,150,101689,26,Howto & Style,Technology,en-US,en-US,UCHranSHHa1qo6Pg4JStkL7Q,US
u_M5MaxLL5U,3451,1054,3.274194,288,6872195,26,Howto & Style,Lifestyle_(sociology),en,en,UC9TreTE-iXwfwQl72DzDurA,
NUmrwvQ0reI,557,176,3.164773,1215,843027,26,Howto & Style,Technology|Video_game_culture,en-GB,en-GB,UCaXJNtWYJ9bSqKlGFZ80uZA,CA
Yk-aooLyats,472,151,3.125828,916,1068536,26,Howto & Style,Hobby|Lifestyle_(sociology),en,en,UCnWK_xB1w1G6KMfgYnx-Uxw,US
WqQb2TraAxg,105,34,3.088235,1185,137311,26,Howto & Style,Hobby|Lifestyle_(sociology),en,en,UCKtKlVfWkh_AcZ0gwp17cfg,US
0Ve_YrSp500,577,192,3.005208,315,630150,26,Howto & Style,Food|Hobby|Lifestyle_(sociology),en,en,UCX7hbrZOkAQX7ugsX-5M0rQ,
A5OHrf_l3b8,122,42,2.904762,297,502425,26,Howto & Style,,en,en,UCyj433KMI3kneEqalW-xrZg,US
9f-9jrLBfVk,486,168,2.892857,447,1305421,26,Howto & Style,Hobby|Lifestyle_(sociology)|Vehicle,en,en,UCy4-4AFgc21Z9QKdGSOD9TA,US
tFcLbNm5mGE,1463,506,2.891304,401,3573373,26,Howto & Style,Lifestyle_(sociology),en,en,UCKxH3FrngB6GJaGYUf_QNLA,US
eXgYQ9SlK50,26,9,2.888889,581,169303,26,Howto & Style,Fashion|Hobby|Lifestyle_(sociology),en,en,UCoORYgpLSJ7KnDKM1GnLthg,CA
CwzjmP57_Jw,69,24,2.875000,377,43286,26,Howto & Style,Health|Lifestyle_(sociology),en,en,UC15nQx1enCoisW0SKsOjbLA,US
bkwLxcfcKTY,186,65,2.861538,476,83981,26,Howto & Style,Food|Hobby|Lifestyle_(sociology),en,en,UCj9DfRCLcjY9mFk29b2YyKw,AU
X8VjHEX8czA,48,17,2.823529,303,71612,26,Howto & Style,Lifestyle_(sociology)|Technology,en,en,UCNpZMBurepX2TnjhXQBhcwA,
ZDK6knIPhQg,118,42,2.809524,291,452447,26,Howto & Style,Lifestyle_(sociology)|Vehicle,en,en,UCaAK2FaxQ2xiBbAUVZsvDYQ,US
xz7vVgVZoA0,36,13,2.769231,559,28253,26,Howto & Style,Lifestyle_(sociology),en,en,UC-xczyljpDKuM00-45OUrvg,US
tIAmPWT3wms,52,19,2.736842,955,99575,26,Howto & Style,Hobby|Lifestyle_(sociology),en,en,UC_U6Yek0YgKHN_A-iTAwZbg,US
RLW5fSJd03s,3914,1442,2.714286,360,4304766,26,Howto & Style,Hobby|Lifestyle_(sociology),en,en,UCzEolHECo7JmmkWMGDYaSOA,CA
78NmEA_4wDA,16,6,2.666667,618,54092,26,Howto & Style,Food|Lifestyle_(sociology),en,en,UCu7zLiLYkOknDiX-YhzmSbw,
9bBs8ssntB4,16,6,2.666667,246,19914,26,Howto & Style,Fashion|Hobby|Lifestyle_(sociology),en,en,UCIGfnQjnPxSFDgKDNYOCm5A,US
OxxAhijR5Uc,16,6,2.666667,276,303601,26,Howto & Style,,en,en,UCyneGks78mAm0QCLMPTmAaA,US
MuEiBSAKWLI,191,73,2.616438,304,1125475,26,Howto & Style,Lifestyle_(sociology)|Vehicle,en,en,UCzaZ1sPWEuZN-I8_XT6AH8g,US
BO8TU2ZTRkg,54,21,2.571429,1025,114378,26,Howto & Style,Food|Hobby|Lifestyle_(sociology),en,en,UCZ7Dw5XxGtMK14ABu2thgwg,US
iBFCt34O-NQ,43,17,2.529412,242,997831,26,Howto & Style,,en,en-GB,UC_maHAoX1TThyPf_I0rTU6A,ZA
AdkeRzcAwRU,5,2,2.500000,737,10341,26,Howto & Style,Food|Lifestyle_(sociology),en,en,UCLkMm6Kz5--3qCAbLnE3usw,CA
cKvklf_j4nc,95,38,2.500000,347,116792,26,Howto & Style,Fashion|Hobby|Lifestyle_(sociology),en,en-US,UCjS0YtpZRfUHsRNNWhqu-vA,US
O4qazwRvO6E,3641,1457,2.498970,520,11589636,26,Howto & Style,Food|Hobby|Lifestyle_(sociology),en-GB,en-GB,UCoMum0pwewO8_WtTlUQxGHw,GB
fUyfCtf-bhs,312,126,2.476190,316,626416,26,Howto & Style,Hobby|Lifestyle_(sociology),en,en,UCkelw4qNnvEkcVwtSJ7gv0A,DE
GFBuFtyNx2A,38,16,2.375000,319,234817,26,Howto & Style,Technology,en,en,UCPzwFY-KQcgP8ZGh1ZlNvzg,US
fgZ2vcPzBps,19,8,2.375000,852,21036,26,Howto & Style,Lifestyle_(sociology),en,en,UC9CuzLV8jtzMmv0r6XBMPlA,US
ZSlzelQYEOU,335,148,2.263514,563,1399594,26,Howto & Style,Hobby|Lifestyle_(sociology),en,en,UCEAY1udDi0HBnu7BbxDsJUg,US
4EZP2o9z5J0,336,150,2.240000,509,553654,26,Howto & Style,Lifestyle_(sociology),en,en,UC_eVg568w02BmZWDCrgunvg,US
CpqjwJNSKqU,45,23,1.956522,294,126204,26,Howto & Style,Hobby|Lifestyle_(sociology),en,en,UCJxutKlu354QMLn_8274iVQ,CA
G3VbeNl1Nqg,139,75,1.853333,336,276493,26,Howto & Style,Hobby|Lifestyle_(sociology)|Television_program,en,en,UCStN08hkQ1321WVdFqWD2-w,US
ZJ4JjS10FC8,7,4,1.750000,84,57765,26,Howto & Style,Food|Lifestyle_(sociology),en,en,UCLuXzCJgeOAVletntPNU_0g,
rcwqYPOUq9U,593,341,1.739003,394,1174382,26,Howto & Style,Lifestyle_(sociology),en,en,UCqJodYzqJV__Ghv4OO6G8xw,US
